model_name,arch,M,K,ROW_BLOCK_SIZE,COL_BLOCK_SIZE,PARALLEL_SIZE,BM,BK,bm,avg_latency_s,tile_latency_s,tokens_per_second,rank
Llama-120M,tl1,32000,768,64,32,64,64,32,64,0.2841024001099868,5.918800002291391e-06,450.54177631180295,29
Llama-120M,tl1,32000,768,128,32,64,128,32,64,0.28431360005924944,5.923200001234364e-06,450.2070951700006,30
Llama-120M,tl1,32000,768,128,64,32,128,64,32,0.28439039924705867,5.924799984313722e-06,450.0855174397166,31
Llama-120M,tl1,32000,768,256,32,64,256,32,64,0.2853600020898739,5.945000043539039e-06,448.55620641496387,32
Llama-120M,tl1,32000,768,320,64,32,320,64,32,0.2861376004148042,5.9612000086417535e-06,447.3372245187024,33
Llama-120M,tl1,32000,768,320,32,64,320,32,64,0.2890176016080659,6.021200033501373e-06,442.87960071573644,34
Llama-120M,tl1,32000,768,64,32,32,64,32,32,0.5205120047321543,5.422000049293274e-06,245.91171545767978,35
Llama-120M,tl1,32000,768,128,32,32,128,32,32,0.5210879986407235,5.42799998584087e-06,245.6398925592079,36
Llama-120M,tl1,32000,768,160,32,32,160,32,32,0.5214719989453442,5.431999989014003e-06,245.45900884203706,37
Llama-120M,tl1,32000,768,320,32,32,320,32,32,0.5239872007223312,5.458200007524283e-06,244.2807759875592,38
Llama-120M,tl1,32000,768,256,32,32,256,32,32,0.5256960001133848,5.4760000011810915e-06,243.4867299207,39
Llama-120M,tl1,32000,768,32,32,32,32,32,32,0.534336000418989,5.566000004364468e-06,239.54964647643305,40
